ID,Nama_Pelanggan,Tanggal_Pembelian,Jumlah_Pembelian,Kategori_Buku,Harga_Satuan,Total_Harga
TRX006720,"Queen Permata, M.Kom.",2024-09-05,9,Komik,40000,360000
TRX009502,Purwanto Kusmawati,2024-06-27,1,Komik,40000,40000
TRX009454,"dr. Dadap Kuswoyo, S.IP",2025-04-22,12,Komik,40000,480000
TRX005993,"Irfan Thamrin, S.Farm",2024-11-09,8,Biografi,55000,440000
TRX002113,Nadia Habibi,2025-05-02,11,Fiksi,50000,550000
TRX006667,"Martani Yuliarti, S.IP",2025-01-30,19,Biografi,55000,1045000
TRX005691,Hadi Sirait,2024-06-03,17,Biografi,55000,935000
TRX006613,"R. Drajat Nababan, S.Kom",2025-03-01,8,Fiksi,50000,400000
TRX005840,drg. Cahyono Anggraini,2025-04-30,3,Fiksi,50000,150000
TRX006418,Estiawan Hariyah,2024-12-26,3,Fiksi,50000,150000
TRX003879,Taufan Hutagalung,2024-07-26,1,Fiksi,50000,50000
TRX009891,Yani Pudjiastuti,2024-10-21,5,Komik,40000,200000
TRX002892,Asirwanda Yulianti,2024-11-06,10,Pelajaran,75000,750000
TRX005209,Dt. Bakiman Prakasa,2025-03-30,7,Pelajaran,75000,525000
TRX004819,Hasim Laksita,2024-11-19,9,Fiksi,50000,450000
TRX008013,Gabriella Wacana,2024-09-25,7,Pelajaran,75000,525000
TRX003293,Catur Wibowo,2024-11-11,9,Pelajaran,75000,675000
TRX008147,Harsaya Saptono,2024-09-29,8,Fiksi,50000,400000
TRX005369,"KH. Jaeman Suwarno, S.Farm",2024-08-27,12,Pelajaran,75000,900000
TRX000298,"Uchita Puspita, M.Kom.",2025-04-04,2,Biografi,55000,110000
TRX006052,Dadap Sihombing,2024-10-18,1,Non-Fiksi,60000,60000
TRX001808,Asmianto Prastuti,2024-07-16,16,Non-Fiksi,60000,960000
TRX002363,"Puput Halim, S.Psi",2024-12-26,5,Fiksi,50000,250000
TRX004262,Asirwanda Padmasari,2024-06-01,3,Komik,40000,120000
TRX007548,Olivia Nuraini,2024-08-05,12,Fiksi,50000,600000
TRX000081,Asmianto Melani,2024-12-06,8,Komik,40000,320000
TRX001171,Soleh Nashiruddin,2025-03-07,3,Non-Fiksi,60000,180000
TRX006997,Legawa Hidayat,2024-06-04,1,Fiksi,50000,50000
TRX000777,"Setya Prakasa, S.Sos",2024-05-19,3,Biografi,55000,165000
TRX009415,Wardaya Purnawati,2025-04-26,5,Pelajaran,75000,375000
TRX008938,Labuh Riyanti,2025-01-07,15,Komik,40000,600000
TRX001560,Lukman Hutapea,2024-11-14,14,Pelajaran,75000,1050000
TRX002560,Sakura Padmasari,2024-08-30,3,Pelajaran,75000,225000
TRX000475,Drs. Iriana Rajata,2024-12-29,1,Fiksi,50000,50000
TRX007265,Mulyono Sihotang,2024-06-17,5,Pelajaran,75000,375000
TRX009373,Eman Widodo,2025-01-15,14,Biografi,55000,770000
TRX003147,Mumpuni Yuliarti,2024-09-29,7,Pelajaran,75000,525000
TRX004868,Michelle Sihotang,2024-06-21,9,Fiksi,50000,450000
TRX005085,"R. Adika Haryanti, M.Ak",2025-03-04,15,Biografi,55000,825000
TRX002033,Puti Belinda Nasyiah,2024-12-15,15,Non-Fiksi,60000,900000
TRX008100,Jono Saptono,2024-08-24,10,Pelajaran,75000,750000
TRX004213,Wardi Tampubolon,2024-07-09,13,Fiksi,50000,650000
TRX004058,Tasnim Prasasta,2024-08-09,19,Non-Fiksi,60000,1140000
TRX005296,Intan Manullang,2025-01-09,7,Non-Fiksi,60000,420000
TRX007156,Zahra Palastri,2024-07-02,17,Komik,40000,680000
TRX000813,"Ilsa Suryatmi, M.TI.",2024-06-20,20,Biografi,55000,1100000
TRX004957,Mulyanto Puspasari,2024-09-17,4,Pelajaran,75000,300000
TRX002908,Salimah Jailani,2024-08-23,5,Fiksi,50000,250000
TRX008210,Eman Latupono,2025-04-10,7,Komik,40000,280000
TRX004652,Paiman Puspasari,2024-05-23,13,Biografi,55000,715000
TRX005832,Empluk Suryono,2024-06-03,15,Komik,40000,600000
TRX001504,R.A. Tina Siregar,2025-02-04,11,Biografi,55000,605000
TRX002485,Mahfud Usada,2024-08-05,4,Biografi,55000,220000
TRX005674,"Tgk. Ophelia Lestari, S.T.",2024-06-06,13,Pelajaran,75000,975000
TRX009319,"Cut Cornelia Usada, S.Farm",2025-04-27,7,Biografi,55000,385000
TRX002745,"Tgk. Aurora Adriansyah, S.Psi",2024-09-12,19,Komik,40000,760000
TRX002009,"R.M. Makuta Saptono, S.E.",2024-07-28,2,Biografi,55000,110000
TRX008307,"Maimunah Puspasari, S.Farm",2024-09-10,10,Pelajaran,75000,750000
TRX006663,Dt. Balidin Hutagalung,2024-05-24,13,Pelajaran,75000,975000
TRX001868,"Eka Palastri, S.Gz",2024-10-11,6,Komik,40000,240000
TRX009473,"dr. Restu Puspasari, S.E.I",2024-12-22,12,Non-Fiksi,60000,720000
TRX004504,Dian Gunarto,2025-01-17,12,Non-Fiksi,60000,720000
TRX006892,Karimah Gunarto,2024-10-20,20,Biografi,55000,1100000
TRX006552,Fathonah Zulaika,2025-01-17,11,Fiksi,50000,550000
TRX007133,Mulyanto Jailani,2024-07-16,7,Biografi,55000,385000
TRX001429,Victoria Purwanti,2024-10-02,1,Komik,40000,40000
TRX005558,"drg. Raina Mangunsong, S.H.",2024-05-30,1,Komik,40000,40000
TRX006450,"R. Wirda Nugroho, S.Farm",2024-10-09,20,Komik,40000,800000
TRX006984,Cemani Sitorus,2024-12-03,13,Komik,40000,520000
TRX003708,"dr. Rama Winarsih, S.H.",2024-08-11,9,Komik,40000,360000
TRX002268,Endah Kurniawan,2025-03-17,3,Pelajaran,75000,225000
TRX006527,Ani Halimah,2024-09-15,7,Non-Fiksi,60000,420000
TRX008962,Daliono Haryanti,2024-09-12,6,Komik,40000,240000
TRX005750,Ina Pradana,2024-07-08,8,Fiksi,50000,400000
TRX001290,Ajiono Wahyuni,2024-09-07,9,Fiksi,50000,450000
TRX005847,Heru Sitompul,2024-07-12,5,Fiksi,50000,250000
TRX004543,Zelaya Hidayat,2025-02-23,1,Fiksi,50000,50000
TRX009509,"T. Gara Yuniar, M.TI.",2025-01-14,19,Pelajaran,75000,1425000
TRX003160,Shania Nasyiah,2024-11-13,10,Fiksi,50000,500000
TRX004337,Ana Latupono,2025-02-16,12,Komik,40000,480000
TRX001368,Elma Prastuti,2024-09-03,15,Biografi,55000,825000
TRX001592,Ani Kurniawan,2025-04-16,9,Fiksi,50000,450000
TRX001693,drg. Jelita Sihotang,2024-06-03,20,Pelajaran,75000,1500000
TRX003822,Rachel Melani,2024-05-05,17,Pelajaran,75000,1275000
TRX006857,Harsana Permata,2024-06-27,17,Fiksi,50000,850000
TRX005386,Dodo Gunawan,2025-01-05,20,Biografi,55000,1100000
TRX009436,"Maya Adriansyah, M.TI.",2024-09-23,12,Fiksi,50000,600000
TRX002547,"Dr. Mahfud Winarsih, S.Kom",2024-08-22,7,Pelajaran,75000,525000
TRX007697,Mala Hidayat,2024-11-09,2,Non-Fiksi,60000,120000
TRX003297,"Viman Sitompul, M.Ak",2025-02-08,3,Komik,40000,120000
TRX002767,Salimah Maheswara,2025-03-15,17,Pelajaran,75000,1275000
TRX005313,"Ifa Mayasari, S.Pd",2024-05-30,5,Fiksi,50000,250000
TRX008875,"Hasan Simbolon, S.Sos",2025-05-02,17,Komik,40000,680000
TRX003311,"Ida Puspasari, S.E.I",2025-02-03,17,Fiksi,50000,850000
TRX002998,Imam Widiastuti,2024-11-02,17,Fiksi,50000,850000
TRX004219,Shania Natsir,2024-12-17,2,Non-Fiksi,60000,120000
TRX008695,Ir. Ilsa Waskita,2024-12-01,2,Komik,40000,80000
TRX009918,Dt. Gadang Suwarno,2024-12-22,5,Komik,40000,200000
TRX000732,Irfan Prastuti,2025-02-02,1,Non-Fiksi,60000,60000
TRX000970,Hj. Janet Hastuti,2024-12-29,1,Pelajaran,75000,75000
TRX006188,Maimunah Wulandari,2024-08-20,19,Fiksi,50000,950000
TRX009741,Kajen Kusmawati,2024-11-23,2,Biografi,55000,110000
TRX007440,"KH. Oman Narpati, S.Pt",2024-11-25,12,Fiksi,50000,600000
TRX002313,Oliva Wijayanti,2025-04-25,6,Fiksi,50000,300000
TRX004173,"Lukman Sitorus, S.Pt",2025-04-23,4,Pelajaran,75000,300000
TRX006642,"R.A. Samiah Saragih, S.H.",2024-09-21,11,Fiksi,50000,550000
TRX000409,"Sutan Cakrajiya Dongoran, S.Gz",2024-10-17,17,Non-Fiksi,60000,1020000
TRX007015,Jaswadi Suryatmi,2024-10-03,6,Non-Fiksi,60000,360000
TRX006291,"Puti Mutia Agustina, M.Farm",2024-12-25,5,Komik,40000,200000
TRX003859,Nasim Winarno,2024-08-22,20,Biografi,55000,1100000
TRX002509,Lalita Prasasta,2024-11-17,2,Fiksi,50000,100000
TRX003238,Marwata Ardianto,2024-12-12,6,Fiksi,50000,300000
TRX008916,"KH. Timbul Kurniawan, S.Farm",2024-12-23,11,Pelajaran,75000,825000
TRX009581,Cecep Maryati,2024-07-29,16,Non-Fiksi,60000,960000
TRX003483,Alika Puspita,2024-05-27,16,Biografi,55000,880000
TRX007592,Vero Maheswara,2024-05-16,1,Komik,40000,40000
TRX007185,Diana Hariyah,2024-09-25,9,Non-Fiksi,60000,540000
TRX004912,"Karta Purwanti, M.Ak",2024-06-15,6,Komik,40000,240000
TRX005747,Usyi Handayani,2024-12-20,16,Pelajaran,75000,1200000
TRX002267,Drs. Maria Pudjiastuti,2025-01-04,3,Pelajaran,75000,225000
TRX009599,Endah Kusmawati,2025-02-01,20,Fiksi,50000,1000000
TRX006827,Hana Prayoga,2025-02-12,4,Biografi,55000,220000
TRX007039,"Hj. Ika Nurdiyanti, M.Kom.",2024-09-14,19,Komik,40000,760000
TRX008068,"Digdaya Saefullah, M.M.",2024-10-20,3,Non-Fiksi,60000,180000
TRX005460,Nasab Suwarno,2024-10-27,19,Pelajaran,75000,1425000
TRX006975,Empluk Sitorus,2024-09-17,20,Fiksi,50000,1000000
TRX001078,Puput Hutapea,2025-05-04,7,Fiksi,50000,350000
TRX002755,Cakrawangsa Pradipta,2025-01-17,20,Komik,40000,800000
TRX005404,Talia Mangunsong,2025-04-26,9,Pelajaran,75000,675000
TRX008801,"Gabriella Haryanto, S.Farm",2024-10-08,1,Biografi,55000,55000
TRX004424,Julia Namaga,2024-07-24,8,Pelajaran,75000,600000
TRX002015,Lidya Halim,2024-09-23,7,Komik,40000,280000
TRX001536,Rafi Andriani,2024-09-23,18,Komik,40000,720000
TRX005325,Vera Padmasari,2025-03-03,8,Pelajaran,75000,600000
TRX003777,"Ayu Permata, S.Sos",2024-11-17,1,Komik,40000,40000
TRX001539,Agnes Thamrin,2024-08-28,11,Pelajaran,75000,825000
TRX002085,Umi Wibisono,2025-04-14,18,Non-Fiksi,60000,1080000
TRX005891,"drg. Paulin Palastri, M.Ak",2024-06-30,10,Pelajaran,75000,750000
TRX001330,Jinawi Prasetya,2025-03-31,3,Pelajaran,75000,225000
TRX004583,Maya Laksita,2024-07-15,7,Komik,40000,280000
TRX006063,Harsaya Sirait,2024-10-26,16,Komik,40000,640000
TRX006959,"Mustika Waskita, S.E.",2025-01-07,16,Fiksi,50000,800000
TRX006697,"Dr. Dian Oktaviani, M.Pd",2025-02-10,20,Fiksi,50000,1000000
TRX006015,Umaya Wijaya,2024-06-07,17,Non-Fiksi,60000,1020000
TRX005317,Ir. Salimah Dongoran,2024-10-28,2,Fiksi,50000,100000
TRX005783,Margana Aryani,2024-07-04,1,Pelajaran,75000,75000
TRX004985,Sakti Hariyah,2024-10-03,16,Komik,40000,640000
TRX009225,Asirwanda Rajata,2024-10-08,12,Fiksi,50000,600000
TRX001553,Jane Prabowo,2024-06-25,5,Fiksi,50000,250000
TRX008807,Jane Sirait,2025-02-24,5,Non-Fiksi,60000,300000
TRX006524,"dr. Estiawan Andriani, S.T.",2025-01-13,9,Non-Fiksi,60000,540000
TRX009515,"Puti Nadine Budiyanto, M.Pd",2024-09-22,9,Pelajaran,75000,675000
TRX008672,Wawan Tampubolon,2024-10-09,3,Komik,40000,120000
TRX006789,Martaka Hidayat,2024-09-24,19,Non-Fiksi,60000,1140000
TRX000693,"Ir. Arta Dabukke, S.H.",2024-05-15,16,Fiksi,50000,800000
TRX002504,Salman Damanik,2024-08-13,16,Komik,40000,640000
TRX008451,R. Halima Mahendra,2024-09-30,3,Komik,40000,120000
TRX000483,Salsabila Latupono,2025-04-09,20,Fiksi,50000,1000000
TRX005231,R.A. Nadia Rajasa,2024-05-08,1,Non-Fiksi,60000,60000
TRX009463,"Tgk. Caturangga Sudiati, M.Ak",2024-11-06,20,Fiksi,50000,1000000
TRX002379,"Tina Latupono, S.E.",2024-05-13,11,Komik,40000,440000
TRX005115,Cici Prastuti,2025-01-17,17,Biografi,55000,935000
TRX003961,Wisnu Saragih,2024-05-21,8,Biografi,55000,440000
TRX007534,Hj. Keisha Widodo,2024-06-06,4,Pelajaran,75000,300000
TRX001378,"Faizah Hutagalung, M.Farm",2024-08-27,6,Fiksi,50000,300000
TRX005986,"Yance Utami, S.H.",2025-04-03,8,Fiksi,50000,400000
TRX004565,Mursinin Sihombing,2025-01-13,20,Pelajaran,75000,1500000
TRX008647,"Hj. Rahayu Lazuardi, M.Farm",2025-04-27,3,Pelajaran,75000,225000
TRX007016,"Dt. Ganjaran Nasyidah, S.Farm",2024-08-19,16,Pelajaran,75000,1200000
TRX002252,"Hairyanto Hidayat, M.TI.",2024-06-17,3,Komik,40000,120000
TRX003416,"Ganep Budiman, S.Farm",2025-03-26,18,Fiksi,50000,900000
TRX005712,"Dr. Cici Astuti, S.I.Kom",2024-07-30,14,Komik,40000,560000
TRX000548,"Tri Haryanti, S.E.I",2024-05-06,18,Pelajaran,75000,1350000
TRX006453,Elma Nurdiyanti,2025-03-18,2,Fiksi,50000,100000
TRX005554,"Emong Susanti, M.Pd",2024-09-28,3,Komik,40000,120000
TRX005001,"drg. Jaka Fujiati, M.Farm",2024-11-18,16,Komik,40000,640000
TRX009382,Janet Prasasta,2025-01-11,9,Pelajaran,75000,675000
TRX001863,"Puti Indah Hartati, S.H.",2024-10-15,4,Fiksi,50000,200000
TRX000539,"drg. Kairav Suryatmi, S.Sos",2025-04-04,1,Pelajaran,75000,75000
TRX005260,Ana Lailasari,2024-07-13,4,Fiksi,50000,200000
TRX006289,"dr. Elvina Laksita, S.Kom",2024-08-14,1,Biografi,55000,55000
TRX006485,Wirda Rajata,2024-05-20,14,Non-Fiksi,60000,840000
TRX002752,Indah Riyanti,2025-03-06,16,Non-Fiksi,60000,960000
TRX000865,"Ika Puspita, S.Ked",2025-02-01,20,Non-Fiksi,60000,1200000
TRX004670,Sutan Bakiadi Permadi,2024-11-19,8,Pelajaran,75000,600000
TRX004741,"Laila Lestari, M.Pd",2024-10-24,7,Biografi,55000,385000
TRX007465,"Sutan Muhammad Kusmawati, M.Kom.",2025-03-03,3,Fiksi,50000,150000
TRX002014,Widya Budiyanto,2025-03-14,17,Komik,40000,680000
TRX002258,Emil Prasetya,2024-06-13,1,Fiksi,50000,50000
TRX000154,Talia Prasasta,2025-04-10,16,Komik,40000,640000
TRX004738,Salimah Prastuti,2024-05-06,12,Fiksi,50000,600000
TRX002465,Nabila Puspasari,2024-05-06,19,Biografi,55000,1045000
TRX003582,Tgk. Irwan Pudjiastuti,2025-01-07,14,Komik,40000,560000
TRX007681,Kamila Hasanah,2025-03-16,6,Pelajaran,75000,450000
TRX005035,Ina Ramadan,2024-10-11,6,Fiksi,50000,300000
TRX003741,Banawa Nababan,2024-10-10,13,Fiksi,50000,650000
TRX000788,Devi Nasyiah,2024-12-01,19,Komik,40000,760000
TRX009481,"H. Cengkal Nababan, S.Kom",2024-12-23,8,Pelajaran,75000,600000
TRX006915,"Novi Saefullah, M.Farm",2024-05-27,2,Pelajaran,75000,150000
TRX004105,"Dr. Lembah Suryono, S.IP",2025-01-21,1,Biografi,55000,55000
TRX003143,"R.A. Ida Pradana, S.I.Kom",2024-08-18,15,Pelajaran,75000,1125000
TRX006047,Gada Budiman,2025-03-13,1,Pelajaran,75000,75000
TRX009782,"Patricia Mahendra, S.T.",2025-02-24,5,Pelajaran,75000,375000
TRX004223,Asmadi Puspasari,2024-06-12,16,Non-Fiksi,60000,960000
TRX004098,Tami Mahendra,2024-11-09,19,Biografi,55000,1045000
TRX009995,"Taswir Lestari, S.IP",2024-06-26,4,Fiksi,50000,200000
TRX005002,"Cut Queen Suryono, M.Kom.",2024-11-29,3,Komik,40000,120000
TRX004471,Maida Siregar,2024-06-28,17,Fiksi,50000,850000
TRX005967,Aslijan Ramadan,2024-05-07,17,Biografi,55000,935000
TRX007535,"Dr. Calista Haryanto, S.Sos",2024-11-04,12,Komik,40000,480000
TRX007122,Belinda Permata,2024-10-10,14,Biografi,55000,770000
TRX004987,"Mahfud Habibi, S.E.I",2024-07-09,6,Pelajaran,75000,450000
TRX009551,Rosman Pratiwi,2024-07-18,3,Komik,40000,120000
TRX002054,Chelsea Prayoga,2024-11-15,9,Pelajaran,75000,675000
TRX005408,Kalim Agustina,2025-02-08,5,Fiksi,50000,250000
TRX009135,Ir. Widya Safitri,2024-06-17,17,Fiksi,50000,850000
TRX006428,Prayoga Nurdiyanti,2024-06-21,14,Komik,40000,560000
TRX006351,Mila Handayani,2024-09-18,3,Komik,40000,120000
TRX009608,Zelda Rahmawati,2025-04-07,1,Biografi,55000,55000
TRX000448,Ina Purnawati,2025-03-08,20,Biografi,55000,1100000
TRX002271,Cut Rahmi Januar,2025-01-16,1,Pelajaran,75000,75000
TRX004049,"Sutan Luis Prabowo, S.T.",2024-07-06,3,Komik,40000,120000
TRX004199,"Bajragin Manullang, S.H.",2024-06-28,18,Fiksi,50000,900000
TRX001625,Kusuma Hutagalung,2024-08-02,10,Biografi,55000,550000
TRX001639,Ade Wasita,2024-06-29,3,Biografi,55000,165000
TRX003134,Shakila Riyanti,2024-12-05,8,Fiksi,50000,400000
TRX004869,Icha Firmansyah,2024-07-01,14,Biografi,55000,770000
TRX001727,Edward Suryono,2024-07-14,18,Pelajaran,75000,1350000
TRX008172,"Zelda Hasanah, S.Pt",2024-07-11,15,Komik,40000,600000
TRX000745,"Daruna Saptono, M.Farm",2024-12-06,2,Fiksi,50000,100000
TRX000208,"Rangga Napitupulu, S.Farm",2024-07-04,10,Komik,40000,400000
TRX009190,Kenari Prasetyo,2024-08-23,2,Biografi,55000,110000
TRX009496,"Cakrawala Santoso, S.E.I",2024-05-10,17,Biografi,55000,935000
TRX002880,Asmuni Marbun,2024-11-29,8,Fiksi,50000,400000
TRX003503,"T. Legawa Purnawati, S.Pd",2024-08-20,1,Pelajaran,75000,75000
TRX006435,Dewi Hastuti,2024-11-03,9,Non-Fiksi,60000,540000
TRX005224,"Ilsa Waskita, S.T.",2024-09-08,11,Fiksi,50000,550000
TRX007229,Dr. Jumadi Farida,2025-04-06,16,Non-Fiksi,60000,960000
TRX000881,Liman Gunarto,2024-07-04,7,Non-Fiksi,60000,420000
TRX002021,Unjani Sinaga,2024-11-25,10,Pelajaran,75000,750000
TRX003603,Tgk. Aisyah Iswahyudi,2024-07-18,3,Non-Fiksi,60000,180000
TRX004619,Yono Wulandari,2024-09-21,18,Non-Fiksi,60000,1080000
TRX007192,"Ir. Rini Damanik, S.T.",2024-12-26,13,Pelajaran,75000,975000
TRX002510,Cut Vanesa Natsir,2024-12-20,7,Non-Fiksi,60000,420000
TRX009505,Padma Yulianti,2024-12-22,4,Non-Fiksi,60000,240000
TRX000045,Indah Najmudin,2024-08-28,13,Non-Fiksi,60000,780000
TRX007291,drg. Siska Lestari,2024-05-17,20,Fiksi,50000,1000000
TRX006556,Jarwadi Tampubolon,2024-05-05,1,Fiksi,50000,50000
TRX003594,Juli Sinaga,2024-08-18,8,Fiksi,50000,400000
TRX003438,"Bala Marpaung, S.Psi",2024-06-09,14,Pelajaran,75000,1050000
TRX004190,Talia Lailasari,2024-05-20,16,Biografi,55000,880000
TRX009301,Salimah Wacana,2025-02-11,14,Non-Fiksi,60000,840000
TRX007401,"Drs. Ani Hasanah, S.Pt",2025-02-20,12,Non-Fiksi,60000,720000
TRX004352,Hafshah Sinaga,2024-12-06,19,Pelajaran,75000,1425000
TRX004377,Prasetyo Waskita,2024-08-17,15,Non-Fiksi,60000,900000
TRX002371,"Drs. Yunita Adriansyah, M.Pd",2024-10-27,2,Fiksi,50000,100000
TRX004335,Laras Habibi,2024-12-26,2,Biografi,55000,110000
TRX008882,Karja Tarihoran,2025-03-12,19,Komik,40000,760000
TRX008071,Dr. Sari Handayani,2024-06-18,17,Non-Fiksi,60000,1020000
TRX003264,"Dt. Damu Santoso, M.Pd",2024-08-01,20,Fiksi,50000,1000000
TRX002748,Wira Suwarno,2024-09-26,10,Komik,40000,400000
TRX005777,Tami Laksita,2025-04-15,6,Biografi,55000,330000
TRX009737,Alambana Usamah,2025-03-04,15,Komik,40000,600000
TRX008984,R.A. Titin Manullang,2024-06-13,11,Fiksi,50000,550000
TRX003101,Puspa Budiman,2025-02-02,5,Komik,40000,200000
TRX005983,dr. Bakiman Prasetyo,2024-06-18,1,Pelajaran,75000,75000
TRX006721,"Puti Malika Lazuardi, S.E.I",2025-05-03,8,Komik,40000,320000
TRX009636,Tina Siregar,2024-08-08,12,Non-Fiksi,60000,720000
TRX005336,H. Empluk Agustina,2024-09-16,12,Non-Fiksi,60000,720000
